region,country,item_type,sales_channel,order_priority,order_date,order_id,ship_date,units_sold,unit_price,unit_cost,total_revenue,total_cost,total_profit
Asia,Japan,Cosmetics,Offline,H,12-05-2015,921947953,13-05-2015,362,437.2,263.33,158266.4,95325.46,62940.94
Europe,France,Fruits,Offline,M,05-02-2014,358352739,06-02-2014,9496,9.33,6.92,88597.68,65712.32,22885.36
Asia,Singapore,Vegetables,Offline,M,28-07-2013,166660078,07-08-2013,4994,154.06,90.93,769375.64,454104.42,315271.22
Asia,Japan,Cosmetics,Offline,H,03-10-2015,896652805,11-10-2015,3186,437.2,263.33,1392919.2,838969.38,553949.82
Asia,Singapore,Cosmetics,Offline,H,13-07-2015,280750692,21-07-2015,6401,437.2,263.33,2798517.2,1685575.33,1112941.87
South America,Chile,Beverages,Online,H,27-08-2014,122165049,28-08-2014,4089,47.45,31.79,194023.05,129989.31,64033.74
Asia,Japan,Snacks,Online,C,24-09-2015,991629825,04-10-2015,657,152.58,97.44,100245.06,64018.08,36226.98
Asia,Japan,Office Supplies,Offline,M,01-04-2014,326270703,06-04-2014,1830,651.21,524.96,1191714.3,960676.8,231037.5
South America,Chile,Cereal,Online,C,29-03-2012,954686064,07-04-2012,629,205.7,117.11,129385.3,73662.19,55723.11
Asia,India,Cosmetics,Online,H,15-03-2013,373935998,21-03-2013,4804,437.2,263.33,2100308.8,1265037.32,835271.48
Asia,Japan,Vegetables,Online,C,02-08-2014,674244809,07-08-2014,1417,154.06,90.93,218303.02,128847.81,89455.21
Australia and Oceania,Australia,Fruits,Online,C,01-10-2015,925903249,05-10-2015,4704,9.33,6.92,43888.32,32551.68,11336.64
Europe,Spain,Fruits,Online,M,22-06-2013,463401536,24-06-2013,9433,9.33,6.92,88009.89,65276.36,22733.53
Europe,Italy,Cereal,Offline,H,25-04-2011,947844533,27-04-2011,6055,205.7,117.11,1245513.5,709101.05,536412.45
Africa,Kenya,Baby Food,Offline,H,26-02-2012,935443659,06-03-2012,7493,255.28,159.42,1912813.04,1194534.06,718278.98
North America,Mexico,Personal Care,Online,M,24-10-2016,877211835,27-10-2016,1399,81.73,56.67,114340.27,79281.33,35058.94
North America,United States,Baby Food,Offline,C,15-05-2012,169366821,22-05-2012,8637,255.28,159.42,2204853.36,1376910.54,827942.82
North America,Mexico,Personal Care,Online,H,12-05-2010,445509470,20-05-2010,1348,81.73,56.67,110172.04,76391.16,33780.88
Africa,Kenya,Cosmetics,Offline,L,19-10-2011,873237363,28-10-2011,6221,437.2,263.33,2719821.2,1638175.93,1081645.27
South America,Chile,Cosmetics,Offline,M,23-11-2016,378288834,30-11-2016,4805,437.2,263.33,2100746,1265300.65,835445.35
Africa,Nigeria,Fruits,Offline,M,05-03-2017,687887819,10-03-2017,3847,9.33,6.92,35892.51,26621.24,9271.27
Europe,Italy,Personal Care,Offline,C,30-07-2013,623331544,04-08-2013,7630,81.73,56.67,623599.9,432392.1,191207.8
South America,Argentina,Beverages,Online,M,16-08-2013,660177150,20-08-2013,3470,47.45,31.79,164651.5,110311.3,54340.2
Australia and Oceania,New Zealand,Cosmetics,Offline,H,12-04-2011,765572362,15-04-2011,9065,437.2,263.33,3963218,2387086.45,1576131.55
South America,Chile,Cosmetics,Online,L,11-07-2012,399962396,21-07-2012,5716,437.2,263.33,2499035.2,1505194.28,993840.92
Africa,Nigeria,Personal Care,Offline,C,11-01-2011,526685259,13-01-2011,9627,81.73,56.67,786814.71,545562.09,241252.62
Australia and Oceania,Australia,Fruits,Online,C,02-01-2012,939207639,03-01-2012,4437,9.33,6.92,41397.21,30704.04,10693.17
South America,Argentina,Beverages,Online,H,04-03-2015,434989857,13-03-2015,5399,47.45,31.79,256182.55,171634.21,84548.34
Africa,Libya,Snacks,Online,C,24-04-2015,952459694,28-04-2015,7986,152.58,97.44,1218503.88,778155.84,440348.04
Asia,Singapore,Cosmetics,Online,C,21-02-2012,321667670,02-03-2012,2120,437.2,263.33,926864,558259.6,368604.4
South America,Argentina,Cosmetics,Online,M,29-12-2013,933744275,02-01-2014,8470,437.2,263.33,3703084,2230405.1,1472678.9
North America,United States,Fruits,Online,C,07-04-2015,894020657,12-04-2015,6982,9.33,6.92,65142.06,48315.44,16826.62
Africa,Libya,Snacks,Online,M,20-09-2016,868818472,22-09-2016,1053,152.58,97.44,160666.74,102604.32,58062.42
Africa,Nigeria,Vegetables,Offline,H,26-01-2016,484652231,30-01-2016,826,154.06,90.93,127253.56,75108.18,52145.38
Europe,France,Snacks,Online,M,13-09-2010,313428955,23-09-2010,763,152.58,97.44,116418.54,74346.72,42071.82
North America,United States,Personal Care,Online,H,23-09-2014,554913725,25-09-2014,6149,81.73,56.67,502557.77,348463.83,154093.94
North America,United States,Baby Food,Online,H,11-05-2014,836237156,15-05-2014,9621,255.28,159.42,2456048.88,1533779.82,922269.06
Africa,Libya,Cereal,Offline,C,07-12-2017,585777698,09-12-2017,5747,205.7,117.11,1182157.9,673031.17,509126.73
Africa,Libya,Snacks,Offline,C,24-01-2011,393082522,01-02-2011,4437,152.58,97.44,676997.46,432341.28,244656.18
South America,Brazil,Baby Food,Online,M,12-11-2016,618787759,15-11-2016,3970,255.28,159.42,1013461.6,632897.4,380564.2
Asia,Singapore,Office Supplies,Offline,H,07-11-2010,853278885,12-11-2010,5060,651.21,524.96,3295122.6,2656297.6,638825
North America,Canada,Household,Online,C,30-12-2012,624853266,09-01-2013,363,668.27,502.54,242582.01,182422.02,60159.99
Europe,France,Snacks,Online,H,16-02-2011,952352092,23-02-2011,3221,152.58,97.44,491460.18,313854.24,177605.94
Asia,China,Clothes,Offline,C,06-01-2012,238458856,13-01-2012,186,109.28,35.84,20326.08,6666.24,13659.84
Asia,Japan,Beverages,Offline,L,16-03-2011,589738781,19-03-2011,2427,47.45,31.79,115161.15,77154.33,38006.82
Australia and Oceania,Fiji,Beverages,Online,L,18-08-2012,333197627,27-08-2012,4573,47.45,31.79,216988.85,145375.67,71613.18
Africa,Libya,Cereal,Online,L,21-05-2016,709591122,26-05-2016,7591,205.7,117.11,1561468.7,888982.01,672486.69
South America,Brazil,Fruits,Offline,L,23-03-2015,928906252,25-03-2015,6408,9.33,6.92,59786.64,44343.36,15443.28
Australia and Oceania,Australia,Personal Care,Online,C,07-08-2017,694129892,17-08-2017,5356,81.73,56.67,437745.88,303524.52,134221.36
Africa,Egypt,Household,Online,M,20-09-2015,285371042,25-09-2015,7055,668.27,502.54,4714644.85,3545419.7,1169225.15
Europe,Spain,Household,Offline,H,01-09-2015,152778370,02-09-2015,3296,668.27,502.54,2202617.92,1656371.84,546246.08
Australia and Oceania,New Zealand,Vegetables,Online,L,01-05-2011,136396651,06-05-2011,7733,154.06,90.93,1191345.98,703161.69,488184.29
Australia and Oceania,Australia,Personal Care,Offline,C,01-09-2010,498537276,05-09-2010,5232,81.73,56.67,427611.36,296497.44,131113.92
Europe,Spain,Office Supplies,Offline,L,04-03-2010,825954935,14-03-2010,1614,651.21,524.96,1051052.94,847285.44,203767.5
South America,Argentina,Fruits,Offline,M,19-09-2013,781590811,25-09-2013,6142,9.33,6.92,57304.86,42502.64,14802.22
Australia and Oceania,Fiji,Beverages,Offline,C,18-03-2017,775069061,19-03-2017,2617,47.45,31.79,124176.65,83194.43,40982.22
Asia,Singapore,Clothes,Online,L,24-09-2016,650607674,03-10-2016,5408,109.28,35.84,590986.24,193822.72,397163.52
Australia and Oceania,Australia,Fruits,Offline,H,31-01-2013,946680366,05-02-2013,7446,9.33,6.92,69471.18,51526.32,17944.86
North America,United States,Cosmetics,Offline,L,09-05-2014,519943966,10-05-2014,7569,437.2,263.33,3309166.8,1993144.77,1316022.03
North America,Mexico,Personal Care,Offline,L,10-05-2016,857811904,16-05-2016,1872,81.73,56.67,152998.56,106086.24,46912.32
Asia,China,Fruits,Online,H,24-06-2017,617097203,01-07-2017,9028,9.33,6.92,84231.24,62473.76,21757.48
Asia,Singapore,Vegetables,Offline,C,16-10-2015,111425865,25-10-2015,2115,154.06,90.93,325836.9,192316.95,133519.95
South America,Argentina,Baby Food,Offline,C,31-01-2017,786079419,05-02-2017,7963,255.28,159.42,2032794.64,1269461.46,763333.18
Europe,France,Cereal,Online,H,03-10-2017,299700691,07-10-2017,9902,205.7,117.11,2036841.4,1159623.22,877218.18
Africa,Kenya,Beverages,Offline,H,28-03-2013,773852200,05-04-2013,5221,47.45,31.79,247736.45,165975.59,81760.86
South America,Argentina,Fruits,Online,C,15-10-2013,969323437,18-10-2013,3500,9.33,6.92,32655,24220,8435
Europe,Germany,Office Supplies,Offline,L,25-09-2014,444655326,30-09-2014,1559,651.21,524.96,1015236.39,818412.64,196823.75
Africa,Libya,Baby Food,Online,M,11-04-2013,421768884,19-04-2013,3483,255.28,159.42,889140.24,555259.86,333880.38
Africa,Libya,Beverages,Online,C,03-06-2010,333331901,06-06-2010,7927,47.45,31.79,376136.15,251999.33,124136.82
Europe,Germany,Cosmetics,Offline,M,14-12-2015,370303033,19-12-2015,3905,437.2,263.33,1707266,1028303.65,678962.35
Asia,Singapore,Fruits,Online,M,11-12-2011,797232567,21-12-2011,1194,9.33,6.92,11140.02,8262.48,2877.54
Africa,Egypt,Cereal,Online,H,17-05-2012,325492513,23-05-2012,1513,205.7,117.11,311224.1,177187.43,134036.67
Africa,Egypt,Household,Online,M,10-04-2012,330945320,20-04-2012,3722,668.27,502.54,2487300.94,1870453.88,616847.06
Europe,Germany,Personal Care,Offline,C,30-11-2010,693950205,01-12-2010,1951,81.73,56.67,159455.23,110563.17,48892.06
North America,Mexico,Vegetables,Online,L,07-07-2014,923382177,09-07-2014,4106,154.06,90.93,632570.36,373358.58,259211.78
Asia,Japan,Clothes,Offline,H,27-06-2014,251852079,03-07-2014,3757,109.28,35.84,410564.96,134650.88,275914.08
Australia and Oceania,Fiji,Baby Food,Offline,C,31-03-2014,801414521,08-04-2014,3019,255.28,159.42,770690.32,481288.98,289401.34
North America,Canada,Snacks,Offline,H,01-07-2011,175663376,02-07-2011,9905,152.58,97.44,1511304.9,965143.2,546161.7
Europe,France,Personal Care,Online,M,04-05-2017,809763249,06-05-2017,9250,81.73,56.67,756002.5,524197.5,231805
South America,Chile,Snacks,Offline,M,19-12-2014,677725985,24-12-2014,7773,152.58,97.44,1186004.34,757401.12,428603.22
North America,Mexico,Beverages,Offline,H,30-09-2013,206960710,03-10-2013,7367,47.45,31.79,349564.15,234196.93,115367.22
South America,Argentina,Snacks,Offline,H,15-11-2010,955266141,21-11-2010,7493,152.58,97.44,1143281.94,730117.92,413164.02
South America,Brazil,Vegetables,Online,C,06-11-2012,268057500,11-11-2012,9358,154.06,90.93,1441693.48,850922.94,590770.54
North America,Mexico,Baby Food,Online,L,21-01-2012,789126300,30-01-2012,1655,255.28,159.42,422488.4,263840.1,158648.3
Asia,Singapore,Baby Food,Offline,C,17-03-2016,420534416,23-03-2016,6138,255.28,159.42,1566908.64,978519.96,588388.68
Australia and Oceania,New Zealand,Vegetables,Offline,H,24-07-2013,468804085,01-08-2013,7608,154.06,90.93,1172088.48,691795.44,480293.04
Australia and Oceania,Australia,Fruits,Online,H,16-05-2012,698093433,26-05-2012,6772,9.33,6.92,63182.76,46862.24,16320.52
Europe,Italy,Vegetables,Online,L,07-02-2015,932124234,11-02-2015,8075,154.06,90.93,1244034.5,734259.75,509774.75
South America,Argentina,Household,Offline,M,21-08-2011,392125276,26-08-2011,8487,668.27,502.54,5671607.49,4265056.98,1406550.51
Asia,China,Vegetables,Online,C,11-07-2014,231660821,18-07-2014,8842,154.06,90.93,1362198.52,804003.06,558195.46
South America,Brazil,Vegetables,Online,C,20-02-2017,869589905,23-02-2017,9555,154.06,90.93,1472043.3,868836.15,603207.15
North America,Canada,Cosmetics,Offline,H,05-06-2013,508202386,06-06-2013,2794,437.2,263.33,1221536.8,735744.02,485792.78
Africa,Egypt,Baby Food,Online,H,15-03-2017,832265677,18-03-2017,8072,255.28,159.42,2060620.16,1286838.24,773781.92
Africa,Kenya,Office Supplies,Offline,H,01-09-2015,183622991,03-09-2015,1440,651.21,524.96,937742.4,755942.4,181800
South America,Chile,Vegetables,Online,M,24-08-2014,750833732,29-08-2014,6830,154.06,90.93,1052229.8,621051.9,431177.9
Africa,Egypt,Beverages,Online,L,14-07-2011,494969770,23-07-2011,7462,47.45,31.79,354071.9,237216.98,116854.92
Africa,Nigeria,Baby Food,Offline,M,08-12-2014,597104954,09-12-2014,297,255.28,159.42,75818.16,47347.74,28470.42
Europe,Germany,Baby Food,Online,M,19-01-2010,540870314,23-01-2010,6454,255.28,159.42,1647577.12,1028896.68,618680.44
Asia,Singapore,Office Supplies,Offline,H,06-12-2011,710353752,12-12-2011,2121,651.21,524.96,1381216.41,1113440.16,267776.25
South America,Argentina,Household,Offline,L,12-07-2013,712652249,17-07-2013,7441,668.27,502.54,4972597.07,3739400.14,1233196.93
Australia and Oceania,Fiji,Personal Care,Online,H,02-05-2013,767897366,11-05-2013,5103,81.73,56.67,417068.19,289187.01,127881.18
Asia,Japan,Beverages,Offline,H,11-07-2016,892231121,19-07-2016,2630,47.45,31.79,124793.5,83607.7,41185.8
Asia,Singapore,Household,Online,H,14-08-2012,483598419,15-08-2012,6133,668.27,502.54,4098499.91,3082077.82,1016422.09
Asia,China,Snacks,Offline,C,02-12-2013,415763722,12-12-2013,4569,152.58,97.44,697138.02,445203.36,251934.66
Europe,France,Office Supplies,Online,C,24-09-2017,101764509,30-09-2017,6053,651.21,524.96,3941774.13,3177582.88,764191.25
Africa,Egypt,Cereal,Offline,L,16-12-2010,759390595,18-12-2010,6058,205.7,117.11,1246130.6,709452.38,536678.22
South America,Chile,Clothes,Offline,H,26-04-2014,527123798,06-05-2014,2240,109.28,35.84,244787.2,80281.6,164505.6
North America,United States,Cosmetics,Offline,L,24-01-2017,240454041,30-01-2017,4721,437.2,263.33,2064021.2,1243180.93,820840.27
South America,Argentina,Beverages,Online,L,11-03-2013,946807334,13-03-2013,9594,47.45,31.79,455235.3,304993.26,150242.04
North America,United States,Baby Food,Offline,H,27-09-2016,635309208,30-09-2016,3666,255.28,159.42,935856.48,584433.72,351422.76
South America,Chile,Office Supplies,Online,M,16-06-2016,651326296,25-06-2016,7411,651.21,524.96,4826117.31,3890478.56,935638.75
Europe,Germany,Beverages,Offline,M,18-10-2015,897984371,26-10-2015,215,47.45,31.79,10201.75,6834.85,3366.9
Australia and Oceania,Australia,Personal Care,Online,M,02-06-2015,433527139,03-06-2015,3119,81.73,56.67,254915.87,176753.73,78162.14
Africa,Libya,Beverages,Offline,H,24-06-2011,167012672,01-07-2011,9809,47.45,31.79,465437.05,311828.11,153608.94
Europe,Italy,Personal Care,Offline,L,10-08-2016,814725905,16-08-2016,2403,81.73,56.67,196397.19,136178.01,60219.18
Europe,Spain,Beverages,Offline,L,09-07-2017,149882823,12-07-2017,8912,47.45,31.79,422874.4,283312.48,139561.92
North America,Canada,Snacks,Online,C,27-03-2012,563624904,29-03-2012,7649,152.58,97.44,1167084.42,745318.56,421765.86
Australia and Oceania,Australia,Fruits,Online,H,18-03-2012,283603767,24-03-2012,8278,9.33,6.92,77233.74,57283.76,19949.98
North America,Mexico,Vegetables,Offline,C,07-11-2013,495646539,11-11-2013,2506,154.06,90.93,386074.36,227870.58,158203.78
Australia and Oceania,New Zealand,Cosmetics,Online,L,08-10-2011,133085345,16-10-2011,6727,437.2,263.33,2941044.4,1771420.91,1169623.49
South America,Chile,Vegetables,Offline,H,02-05-2017,322071615,11-05-2017,5654,154.06,90.93,871055.24,514118.22,356937.02
Africa,Egypt,Beverages,Offline,C,19-06-2010,951656202,22-06-2010,7589,47.45,31.79,360098.05,241254.31,118843.74
South America,Argentina,Fruits,Online,H,25-06-2015,835393000,29-06-2015,9238,9.33,6.92,86190.54,63926.96,22263.58
South America,Brazil,Beverages,Offline,M,20-08-2017,166345963,25-08-2017,3017,47.45,31.79,143156.65,95910.43,47246.22
Africa,Kenya,Baby Food,Offline,M,19-03-2016,306898520,24-03-2016,1384,255.28,159.42,353307.52,220637.28,132670.24
South America,Chile,Snacks,Offline,H,25-01-2015,804040788,28-01-2015,8821,152.58,97.44,1345908.18,859518.24,486389.94
Australia and Oceania,New Zealand,Beverages,Online,C,01-10-2015,532906180,07-10-2015,5086,47.45,31.79,241330.7,161683.94,79646.76
Australia and Oceania,New Zealand,Baby Food,Online,L,19-07-2010,176031262,28-07-2010,5872,255.28,159.42,1499004.16,936114.24,562889.92
Africa,Libya,Cereal,Online,L,12-03-2015,339033873,16-03-2015,9281,205.7,117.11,1909101.7,1086897.91,822203.79
Europe,Spain,Clothes,Online,L,08-06-2012,562480491,17-06-2012,9402,109.28,35.84,1027450.56,336967.68,690482.88
Africa,Kenya,Beverages,Online,H,02-03-2014,677017098,12-03-2014,8519,47.45,31.79,404226.55,270819.01,133407.54
South America,Chile,Clothes,Online,H,22-02-2010,829986120,23-02-2010,3934,109.28,35.84,429907.52,140994.56,288912.96
Asia,Singapore,Cereal,Online,L,16-09-2015,852477691,22-09-2015,1749,205.7,117.11,359769.3,204825.39,154943.91
Europe,Italy,Office Supplies,Online,M,21-10-2015,548102763,29-10-2015,4340,651.21,524.96,2826251.4,2278326.4,547925
